,question,id,normalized_aliases,category,judgment,reasoning,model_short_answer,em,f1
0,What general name is given to a rotating star which emits a regular beat of radiation?,sfq_178,"['yukon optics', 'beltex optics', 'pulsar']",fully specified,fully specified,"This question is fully specified because it asks for a well-defined astronomical term that describes a specific type of rotating star emitting regular radiation pulses. The referent is unambiguous, and the description aligns with the scientific definition of a ""pulsar,"" a neutron star that emits regular electromagnetic radiation pulses. There are no missing components, no ambiguous references, and no subjective criteria involved.",['Pulsar'],1,1.0
1,"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""",sfq_11822,"['ruddigore', 'ruddigore witch s curse', 'rudigore', 'ruddygore']",fully specified,fully specified,"This question is fully specified because it refers to a well-known specific operetta by Gilbert and Sullivan, ""The Pirates of Penzance,"" which is commonly subtitled ""The Witches' Curse."" The referent is unambiguous, and the subtitle is a recognized factual association. There are no missing components, no ambiguous references, and no subjective criteria involved.",['Ruddigore'],1,1.0
2,Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,sfq_17752,"['james laker', 'jim laker']",fully specified,fully specified,"This question is fully specified because it refers to a specific historical cricket match (1956, Australia) and asks for the name of the English cricketer who achieved a precise bowling performance (10 for 53). The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved.",['Jim Laker'],1,1.0
3,Who is the patron saint of dancers?,sfq_6199,"['saint crescentia', 'saint vitus', 'vitus', 's vito', 'vít', 'vitus modestus and crescentia', 'st vito', 'vitus saint', 'crescentia modestus and vitus saints', 'st vitus', 'saint guy', 'sts vitus modestus and crescentia', 'modestus vitus and crescentia', 'crescentia modestus and vitus', 'saint vitus day', 'modestus vitus and crescentia saints', 'monastery of st vito', 'saint vito']",fully specified,fully specified,"This question is fully specified because it asks for a well-defined religious or cultural fact — the patron saint associated with dancers. The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved. The answer is a widely recognized historical or religious attribution.",['Saint Vitus'],1,1.0
4,"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",qg_607,['karl marx and friedrich engels'],fully specified,fully specified,"This question is fully specified because it refers to a well-documented historical document (the Communist Manifesto) and asks for the factual authors of the work. The date provided (Feb 21, 1848) is a contextual detail that does not affect the identification of the authors, which are universally recognized as Karl Marx and Friedrich Engels. There are no missing components, no ambiguous references, and no subjective criteria involved.","['Karl Marx', 'Friedrich Engels']",0,0.5714285714
5,The fortified wine drink Sherry is named after what town?,bb_912,"['jerez de la frontera', 'xeres jerez de la frontera', 'jérez de la frontera', 'jerez de la frontera cádiz', 'emirate of jerez', 'history of jerez de la frontera', 'xeres', 'jerez spain', 'jerez de la frontera cadiz', 'jérez de la frontera spain', 'jerez de la frontera spain', 'jeréz de la frontera', 'jerez', 'xeres de la frontera']",fully specified,fully specified,"This question is fully specified because it asks for a factual historical or geographical fact — the origin of the wine name ""Sherry,"" which is directly tied to the town of Jerez (Jerez de la Frontera) in Spain. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved.",['Jerez de la Frontera'],1,1.0
6,The nickname for Dumfries became the name of which Scottish football club?,dpql_4760,"['qots', 'qotsfc', 'queen of south f c', 'queen of south fc', 'mighty queen of south', 'doonhamers', 'queen of south', 'qosfc']",fully specified,fully specified,"This question is fully specified because it refers to a specific historical or cultural reference: the nickname ""Dumfries"" and its association with a Scottish football club. The referent is unambiguous, as the club in question is the Dumfries Football Club, which was named after the town of Dumfries. There are no missing components, no ambiguous references, and no subjective criteria involved.",['Queen of the South'],1,1.0
7,The revolutionary group the Sandinistas were active in which country?,sfq_22481,"['republic of nicaragua', 'nicaragua central america', 'nicarugua', 'republica de nicaragua', 'etymology of nicaragua', 'bibliography of nicaragua', 'health in nicaragua', 'nicaragua', 'subdivisions of nicaragua', 'nicaraguan', 'administrative divisions of nicaragua', 'república de nicaragua', 'nicuragua', 'sport in nicaragua', 'iso 3166 1 ni']",fully specified,fully specified,"This question is fully specified because it refers to a well-documented historical group (the Sandinistas) and asks for the specific country where they were active. The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved.",['Nicaragua'],1,1.0
8,Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,sfq_20557,"['steven john norris', 'stephen norris', 'steven norris', 'steve norris']",fully specified,fully specified,"This question is fully specified because it refers to a specific historical event — the first two elections for Mayor of London where Ken Livingstone was elected — and asks for the conservative candidates he faced. The referents are clear, the scope is factual, and no missing components or subjective criteria are involved. The answer is two specific names: Ken Clark (2000) and Iain Duncan Smith (2004).",['Steven Norris'],1,1.0
9,"""Who said, To err is human but it feels divine?""""""",tc_2182,"['mae west filmography', 'is that gun in your pocket or are you just happy to see me 3f', 'mae west', 'when i m bad i m better', 'when i m good i m very good', 'jane mast']",fully specified,fully specified,"This question is fully specified because it refers to a well-known quote from the 1970s film *Close Encounters of the Third Kind*, spoken by the alien character. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved. The quote’s origin is a widely recognized fact, making the request fully specified.",['Mae West'],1,1.0
10,"The War of the Triple Alliance (1864 - 1870) was fought between the allied countries of Argentina, Brazil, and Uruguay and which other country?",qw_1225,"['paraguayans', 'república del paraguay', 'culture of paraguay', 'republic of paraguay', 'iso 3166 1 py', 'paraguayan literature', 'paraguayan', 'etymology of paraguay', 'paraguai', 'name of paraguay', 'administrative divisions of paraguay', 'paruaguayan', 'tetã paraguái', 'paraguay', 'republic paraguay', 'paragauy', 'teta paraguai']",fully specified,fully specified,"This question is fully specified because it clearly refers to the historical conflict known as the War of the Triple Alliance (1864–1870), which involved the allied countries of Argentina, Brazil, and Uruguay fighting against Paraguay. The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved.",['Paraguay'],1,1.0
11,What city will host the 2016 Olympics?,jp_2252,"['rio de janeiro brazil', 'river of january', 'rio de jainero', 'río de jeneiro', 'un locode brrio', 'río de janeiro brazil', 'marvelous city', 'rio di janeiro', 'rio de janeiro city', 'sao sebastiao do rio de janeiro', 'rio de janerio', 'brrio', 'rio de janero', 'rio janeiro', 'rio de janiero', 'january river', 'río de janeiro', 'r janeiro', 'rio de janeiro rj', 'rio de janeiro', 'rio de janiero brazil', 'rio brazil', 'são sebastião do rio de janeiro', 'rio de janeiro rio de janeiro']",fully specified,fully specified,"This question is fully specified because it refers to a well-documented historical event — the 2016 Summer Olympics — and asks for the factual host city, which is a widely known and unambiguous fact. The referent is clear, the scope is precise, and no missing components or subjective criteria are involved.",['Rio de Janeiro'],1,1.0
12,Mount Entoto is the highest peak overlooking which African capital city?,qb_7436,"['adis abeba', 'ethiopian natural history museum', 'addis adaba', 'grand anwar mosque addis ababa', 'capital of ethiopia', 'ethiopian ethnological museum', 'addis ababa ethiopia', 'districts of addis ababa', 'አዲስ አበባ', 'addis ababa', 'ādīs ābeba', 'addis abba ethiopia', 'adis abeda', 'āddīs ābebā', 'addis abba', 'addis ababa et', 'finfinne', 'tewodros square', 'addis ababa museum', 'new flower', 'addis abeba', 'adis ababa']",fully specified,fully specified,"This question is fully specified because it refers to a specific geographical feature (Mount Entoto) and asks for the capital city in Africa that it overlooks. The referent is unambiguous, as Mount Entoto is located in Ethiopia, and the capital of Ethiopia is Addis Ababa. There are no missing components, no ambiguous references, and no subjective criteria involved.",['Addis Ababa'],1,1.0
13,Buenos Aires is located on the estuary of which river?,sfq_10251,"['river plate', 'river plate disambiguation']",fully specified,fully specified,"This question is fully specified because it asks for a clear, factual geographic fact: the specific river whose estuary is where Buenos Aires is located. The referent (Buenos Aires) and the requested information (river estuary) are unambiguous, with no missing components or subjective criteria involved.",['Río de la Plata'],0,0.0
