,request,gold_judgment,direct_source,category,reasoning,original_annotation
1118,When was the first world war broke out?,underspecified,AmbigNQ,Undetermined perspective or granularity,"The phrase “broke out” can be interpreted from multiple perspectives or granularities. It can be interpreted from the perspective of the political trigger event, which is the assassination of Archduke Franz Ferdinand, or from the perspective of the formal military actions and declarations of war between major powers. The question remains underspecified before a certain perspective is chosen.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""When was the first world war broke out as measured by when Gavrilo Princip was assassinated?"", ""answer"": [""28 June 1914""]}, {""question"": ""When was the first world war broke out as measured by when Austria-Hungary first shelled Belgrade?"", ""answer"": [""28 July 1914""]}]}], ""id"": ""-4761713139484261685"", ""question"": ""When was the first world war broke out?""}"
5585,Who sings the song i will try to fix you?,underspecified,AmbigNQ,Undetermined perspective or granularity,"The question allows multiple granularities: it could be answered on the granularity of the band as a whole or specifically to the lead singer, Chris Martin. Without clarifying which granularity is meant, the question can be regarded as underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Which band performs their original song i will try to fix you?"", ""answer"": [""Coldplay""]}, {""question"": ""Who is the lead singer on Coldplay's original song i will try to fix you?"", ""answer"": [""Chris Martin""]}]}], ""id"": ""-3417842242085643088"", ""question"": ""Who sings the song i will try to fix you?""}"
9330,Who is the head of the nation in india?,underspecified,AmbigNQ,Undetermined perspective or granularity,"The question can refer to the role or title of the head (position) or to the specific person currently holding that role. Without clarifying the perspective, the intended meaning remains underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Who is the 14th president in india?"", ""answer"": [""Ram Nath Kovind""]}, {""question"": ""Who is the 13th president in india?"", ""answer"": [""Pranab Mukherjee""]}, {""question"": ""Who is the 12th president in india?"", ""answer"": [""Pratibha Devisingh Patil"", ""Pratibha Patil""]}]}], ""id"": ""-2857624383559601777"", ""question"": ""Who is the head of the nation in india?""}"
9602,Moss is an example of which type of plant?,underspecified,AmbigNQ,Undetermined perspective or granularity,"The term “type” can refer to different taxonomic granularities, such as kingdom, clade, or division. Without specifying which classification level is intended, the question allows multiple valid interpretations and is therby underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Moss is an example of which kingdom of plant?"", ""answer"": [""Plantae""]}, {""question"": ""Moss is an example of which clade of plant?"", ""answer"": [""Embryophytes""]}, {""question"": ""Moss is an example of which division of plant?"", ""answer"": [""Bryophyta Schimp. sensu stricto""]}]}], ""id"": ""-928634973642716289"", ""question"": ""Moss is an example of which type of plant?""}"
4145,How long can you serve in the house?,underspecified,AmbigNQ,"Undetermined lexicons or references, Undetermined perspective or granularity","The term “house” is referentially ambiguous because it does not specify which legislative or organizational body is meant (e.g., House of Representatives, House of Lords) and which political entity (e.g. country) it is in. Additionally, “serve” can be interpreted under multiple perspectives, such as the length of a single term or the total number of years allowed. Both factors are making the intended meaning of the question underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""How long can you serve in the house per term?"", ""answer"": [""2 years""]}, {""question"": ""How many terms can you serve in the house?"", ""answer"": [""unlimited""]}]}], ""id"": ""7750914253718432578"", ""question"": ""How long can you serve in the house?""}"
2806,How much population is below poverty line in india?,underspecified,AmbigNQ,"Undetermined standard or preference, Missing necessary components","There are multiple possible data sources and definitions for measuring poverty, and the choice among them depends on the standard or preference applied. Additionally, the answer depends strongly on specifying the time period, but the question lacks this necessary temporal information. Both factors make the question underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""According to the UN MDG programme, how much of India's population was below the poverty line in 2011-2012?"", ""answer"": [""270 million people out of 1.2 billion"", ""roughly equal to 21.9%""]}, {""question"": ""According to the Indian government, how much of India's population was below the poverty line in 2012?"", ""answer"": [""22%""]}, {""question"": ""In 2016, how much of India's population was experiencing multidimensional poverty?"", ""answer"": [""27.5 percent""]}]}], ""id"": ""-6618056626220749933"", ""question"": ""How much population is below poverty line in india?""}"
7208,When did compulsory national service end in uk?,underspecified,AmbigNQ,Undetermined perspective or granularity,"The word “end” can be interpreted from multiple perspectives: it could refer to when the legislation was officially abolished or to when the last group of conscripted men completed their service and left the armed forces. Without specifying which perspective is meant, the question remains underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""When did compulsory national service calls end for men in uk?"", ""answer"": [""31 December"", ""31 December 1960""]}, {""question"": ""When did the last men leave the armed forces who were conscripted via compulsory national service in the uk?"", ""answer"": [""May 1963""]}]}], ""id"": ""3783809759796619583"", ""question"": ""When did compulsory national service end in uk?""}"
8049,Who is the speaker of the house chosen by?,underspecified,AmbigNQ,Undetermined lexicons or references,"The phrase “speaker of the house” has multiple homogeneous referents, such as the Speaker of the U.S. House of Representatives, the Speaker of the House of Commons in the UK, the speaker of the House of Commons in Canada, etc. Without specifying which political system or country is meant, the referent can't be determined and the question remains underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Who is the Speaker of the United States House of Representatives chosen by?"", ""answer"": [""The House of Representatives""]}, {""question"": ""Who is the Speaker of the House of Commons in the UK chosen by?"", ""answer"": [""Members of House of Commons""]}, {""question"": ""Who is the Speaker of the House of Commons in Canada chosen by?"", ""answer"": [""a secret ballot by the Parliament""]}]}], ""id"": ""4045165536748713167"", ""question"": ""Who is the speaker of the house chosen by?""}"
8605,What do you call a ten sided shape?,underspecified,AmbigNQ,Undetermined perspective or granularity,"The question can be interpreted from multiple perspectives depending on dimensional space — for example, it could refer to a two-dimensional decagon or a three-dimensional ten-faced decahedron. Without specifying the dimensional perspective, the intended meaning of the questionremains underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""What do you call a ten sided 2D shape?"", ""answer"": [""decagon""]}, {""question"": ""What do you call a ten sided 3D shape?"", ""answer"": [""decahedron""]}]}], ""id"": ""309326971063268558"", ""question"": ""What do you call a ten sided shape?""}"
3352,Where does the movie 10 things i hate about you take place?,underspecified,AmbigNQ,Undetermined perspective or granularity,"The phrase “take place” can be interpreted from heterogeneous perspectives: it could refer to the fictional story setting within the movie or to the actual filming location. Without specifying which is intended, the question remains underspecified.","{""annotations"": [{""type"": ""multipleQAs"", ""qaPairs"": [{""question"": ""Where does the story of the movie 10 things i hate about you take place?"", ""answer"": [""Seattle"", ""New York""]}, {""question"": ""Where was the movie 10 things i hate about you filmed?"", ""answer"": [""Stadium High School"", ""Tacoma, Washington"", ""Seattle""]}]}], ""id"": ""5904926508423778096"", ""question"": ""Where does the movie 10 things i hate about you take place?""}"
