,question,id,normalized_aliases,category,judgment,reasoning,model_short_answer,em,f1
0,Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,qb_2689,"['farthings', 'farthing', 'farthing disambiguation', 'farthing coin']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase “what’? ” is incomplete and lacks a clear referent. The question appears to be cut off, making it impossible to determine the intended meaning or the specific information being asked for.","['*   ""Farthings""']",1,1.0
1,"When Mr Benn was looking for an adventure, what type of shop did he visit?",qz_4047,['fancy dress shop'],Undetermined lexicons or references,underspecified,"The request is underspecified because the referent “Mr Benn” is ambiguous. It could refer to the character Mr. Benn from Jane Austen's Pride and Prejudice, or it could refer to a different Mr. Benn from another context, such as a character in a movie, book, or game. Without clarification, the question remains underspecified.",['*   Fancy dress shop'],1,1.0
2,What was made and repaired by a Wainwright?,qf_1928,"['wagon', 'front axle assembly', 'wagon vehicle', 'horse drawn wagon', 'waggon', 'farm wagon', 'delivery wagon', 'wagons', 'circus wagon']",Undetermined lexicons or references,underspecified,"The request is underspecified because the term ""Wainwright"" lacks a clear, established referent without additional context. It could refer to a person, a company, or a specific type of item or process, but without clarification, the question remains ambiguous. The referent is not uniquely identifiable, making the query underspecified.",['*   Wagons\n*   Wheeled vehicles'],0,0.5
3,Which company produced the Hastings and Herald aircraft?,sfq_21619,"['handley page aircraft company', 'o 100 and o 400 handley page', 'handley page slat', 'handley page reading', 'handley page o 100 and o 400', 'handley page limited', 'handley page ltd', 'handley page']",Undetermined lexicons or references,underspecified,"The request is underspecified because the term ""Hastings and Herald aircraft"" is not a recognized or standard reference in aviation history, and the referent is unclear. Without additional context or clarification on the specific aircraft model or manufacturer, the question lacks a clear referent and cannot be definitively answered.",['*   Handley Page'],1,1.0
4,What was the name of the Prime Minister of Egypt who was assassinated in 1910?,qb_1448,"['boutros ghali pasha', 'boutros pasha ghali', 'boutros ghali']",Undetermined lexicons or references,underspecified,"The request is underspecified because the term “Egypt” can refer to multiple parallel historical entities, such as the ancient Egyptian civilization, the modern Republic of Egypt, or the Ottoman-era Egypt. Without specifying which historical context is intended, the referent remains ambiguous.",['*   Boutros Ghali'],1,1.0
5,Who was the UK Poet Laureate or the longest period?,sfq_16378,"['alfred tennyson', 'lord tennyson', 'tennyson poet', 'lord tennyson alfred', 'tennysonian', 'alfred lord tennyson', 'tennyson', 'alfred lord tennison', 'tennyson alfred 1st lord', 'alfred tennyson tennyson', 'lord alfred tennyson', 'alfred tennyson lord tennyson', 'baron alfred tennyson', 'alfred tennyson 1st baron tennyson']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase “UK Poet Laureate” can refer to multiple parallel entities, such as the Poet Laureate of the United Kingdom or the Poet Laureate of the United Kingdom of Great Britain and Northern Ireland. Additionally, the phrase “the longest period” is ambiguous, as it could refer to the longest tenure of a Poet Laureate or the longest period of time that the position has existed. Both factors make the question underspecified.","['*   Alfred, Lord Tennyson']",1,1.0
6,By what first name is West Indian cricketer Sarwan known?,odql_13385,['ramnaresh'],Undetermined lexicons or references,underspecified,"The request is underspecified because the term ""Sarwan"" is not a widely recognized or standardized name in cricket, and there is no clear referent for a ""West Indian cricketer"" known by the first name ""Sarwan."" Without additional context or clarification, the question lacks a definitive referent or standard, making it ambiguous.",['*   Ramnaresh'],1,1.0
7,'Yellow River' was a May 1970 No.1 for who?,qf_85,"['christie disambiguation', 'christie']",Undetermined lexicons or references,underspecified,"The request is underspecified because the phrase “No.1” can refer to multiple parallel referents, such as the top-selling single in the UK, the top-selling single in the US, or the top-selling single in a different country. Without specifying the country or region, the referent remains ambiguous.",['*   Christie'],1,1.0
8,What is the principal charity for single parent families in the UK?,sfq_20339,"['gingercake', 'pierniki', 'gingerbread', 'ginger cake', 'gingerbread cookie', 'ginger breads', 'gingerbreads', 'ginger bread']",Undetermined standard or preference,underspecified,"The request is underspecified because the term “principal” is ambiguous in this context. It could refer to the primary or most significant charity, but without additional context, it is unclear whether the user is asking for the leading charity, the most well-known one, or the one with the largest funding. Additionally, the term “single parent families” is broad and could refer to different groups with varying needs, which might influence the choice of charity. Both factors make the question underspecified.",['*   Gingerbread'],1,1.0
9,Who were the first League Cup winners,bt_4210,"['aston villa fc', 'avfc', 'aston villa football club', 'aston villa', 'aston villa f c', 'villa football club', 'aston vil', 'aston villa hall of fame', 'villa news and record']",Missing necessary components,underspecified,"The request is underspecified because the term ""League Cup"" can refer to multiple parallel competitions across different countries or leagues (e.g., EFL League Cup in England, League Cup in Spain, or other regional variants). Without specifying which competition is intended, the referent remains ambiguous and the question cannot be accurately answered.",['*   Aston Villa'],1,1.0
