,Unnamed: 0,request,gold_judgment,direct_source,model_pred,reasoning
0,1787,The idea that the united states was destined to extend westward across the continent?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-defined historical concept — Manifest Destiny — which is a widely recognized ideological framework that describes the belief that the United States was destined to expand across the North American continent. The referent is unambiguous, the scope is factual, and no missing components or subjective standards are involved."
1,161,How many times french won the world cup?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to the French national football team's victories in the FIFA World Cup, a well-defined historical event. The referent is unambiguous, the scope is factual, and the answer is a known, documented statistic (2 wins: 1998 and 2018). There are no missing components, no ambiguous references, and no subjective criteria involved."
2,1383,When was pink floyd's dark side of the moon released?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-known album by the band Pink Floyd and asks for the exact release date, which is a factual, widely documented event. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
3,1111,When did leonardo da vinci finish painting the mona lisa?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-documented historical fact: the completion date of Leonardo da Vinci's iconic painting, the Mona Lisa. The referent is unambiguous, the scope is factual, and no missing components or subjective criteria are involved. While historical debates exist about the exact date, the question is grounded in a widely accepted timeline."
4,1542,Who is the first speaker of national assembly of pakistan?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific historical position (the first Speaker of the National Assembly of Pakistan) and asks for a factual, historical answer. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
5,207,When does 13 reasoms why season 2 come out?,fully specified,AmbigQA,underspecified,"The request is underspecified because the phrase ""13 Reasons Why"" can refer to multiple parallel referents, such as the original 2017 series or the 2023 reboot. Without clarifying which version is intended, the question lacks a clear referent and cannot be answered definitively."
6,1018,Who played betty jo in wayne's world 2?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-known film (""Wayne's World 2"") and a specific character (""Betty Jo""), asking for the factual identity of the actress who played her. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
7,189,Where is season 3 of into the badlands filmed?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific TV series (Into the Badlands) and a specific season (Season 3), asking for the factual filming location. While the exact location may vary depending on production details, the referent is clear, and the request is grounded in a well-defined context without ambiguity or missing components."
8,1162,Actress who plays hillary on the young and the restless?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific character (Hillary) in a well-known TV show (The Young and the Restless) and asks for the factual identity of the actress. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
9,758,When a blood vessel is injured the first phase in hemostasis to occur is?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a factual, well-defined biological process — the first phase of hemostasis after a blood vessel injury. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved. The answer is a standard, established medical fact."
10,1652,Who plays barry allen in justice league movie?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to the 2017 film *Justice League* and asks for the actor who portrays Barry Allen (the Flash). The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
11,981,Veronica mars who does she end up with?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to the well-known TV series *Veronica Mars* and asks for the factual conclusion of the protagonist's romantic relationship. The referent is unambiguous, the scope is clear, and the answer is a widely accepted factual outcome of the show's narrative. There are no missing components, no ambiguous references, and no subjective interpretations required."
12,501,Who developed the world systems theory which explains how global stratification developed?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for the factual originator of a well-defined academic theory (world systems theory) and its purpose (explaining global stratification). The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
13,958,Who plays diane lockhart in the good wife?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to the TV show *The Good Wife* and the specific character Diane Lockhart, asking for the factual identity of the actress. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
14,508,Who played gloria in it ain't half hot mum?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific TV show (""It Ain't Half Hot Mum"") and a well-defined character (""Gloria""), asking for the factual identity of the actress who played her. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
15,570,Where were the two atomic bombs dropped in japan?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-documented historical event — the dropping of two atomic bombs on Japan during World War II. The referents (Hiroshima and Nagasaki) are unambiguous, the scope is factual, and no missing components or subjective criteria are involved."
16,331,When did the japanese river otter become extinct?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific, well-documented species (the Japanese river otter) and asks for the date of its extinction. The referent is unambiguous, and while the exact extinction date may be estimated or debated, the question is grounded in a factual, biological context with no missing components or subjective criteria."
17,976,Scratches in rock produced by glacial abrasion are called?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a well-defined geological term describing a specific feature (scratches in rock) caused by a clear process (glacial abrasion). The referent is unambiguous, the scope is factual, and no subjective or interpretive ambiguity is involved."
18,892,Who plays val in my name is lenny?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific TV show (""My Name is Lenny"") and a character (""Val""), asking for the actor who played the role. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
19,1905,Who played draco malfoy in the harry potter movies?,fully specified,AmbigQA,fully specified,"This question is fully specified because it clearly refers to the character Draco Malfoy in the well-known Harry Potter film series and asks for the factual identity of the actor. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
20,1457,Where did the name kellogg's come from?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to the well-known brand Kellogg's and asks for the origin of its name, which is a factual historical question. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
21,709,What laws directed the flow of goods between england and the colonies?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-documented historical set of laws (the Navigation Acts) that regulated trade between England and its American colonies. The referent is clear, the scope is factual, and no missing components or subjective criteria are involved. The Navigation Acts are a specific, historically recognized set of laws designed to control colonial trade, making the question unambiguously defined."
22,794,When does braxton family values season 5 start?,fully specified,AmbigQA,underspecified,"The request is underspecified because the phrase “start” can be interpreted from multiple perspectives, such as the premiere date, the release date of the season, or the date when the season was first available on streaming platforms. Without specifying which perspective is intended, the question remains underspecified."
23,80,Who won artist of the year at mama 2017?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific, well-known award event (Mama Awards) and a specific year (2017), asking for the winner of the ""Artist of the Year"" category. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved. The answer is factually determined based on the 2017 Mama Awards."
24,929,Who set up the first stockyard for texas cattle in abilene kansas?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific historical event — the establishment of the first stockyard for Texas cattle in Abilene, Kansas — and asks for the factual identity of the person or entity responsible. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
25,683,Who did we buy the gadsden purchase from?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a well-documented historical event — the Gadsden Purchase — and asks for the factual identity of the seller (Mexico) in the 1878 land transaction. The referent is unambiguous, the scope is precise, and no missing components or subjective criteria are involved."
26,1875,Who did the singing for bart in the movie i can only imagine?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific film (""I Can Only Imagine"") and its character (Bart), asking for the actor who performed the singing role. The referent is clear, the scope is factual, and no missing components or subjective interpretations are involved. The answer is directly tied to the film's plot and the actor's role."
27,1328,Who plays the indian in wayne's world 2?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific film (Wayne's World 2) and a specific character (the Indian), asking for the actor who played that role. The referent is unambiguous, and the answer is a well-documented factual attribution. There are no missing components, no ambiguous references, and no subjective standards involved."
28,1936,Who played the original jason on friday the 13th?,fully specified,AmbigQA,fully specified,"This question is fully specified because it unambiguously refers to the original character Jason Voorhees from the first *Friday the 13th* film (1980) and asks for the actor who played him. The referent is clear, the scope is factual, and no missing components or subjective criteria are involved."
29,576,When did toyota start selling cars in the us?,fully specified,AmbigQA,fully specified,"This question is fully specified because it asks for a clear historical fact — the date when Toyota began selling cars in the United States. The referent is unambiguous, the scope is precise, and no additional interpretive or contextual components are required. The answer is a well-documented historical event with a specific year."
30,799,How many episodes in season 2 of wynonna earp?,fully specified,AmbigQA,fully specified,"This question is fully specified because it refers to a specific TV show (""Wynonna Earp"") and a specific season (season 2), asking for a factual, numerical answer. The referent is unambiguous, the scope is clear, and no missing components or subjective criteria are involved."
