,request,gold_judgment,direct_source
1787,The idea that the united states was destined to extend westward across the continent?,fully specified,AmbigQA
161,How many times french won the world cup?,fully specified,AmbigQA
1383,When was pink floyd's dark side of the moon released?,fully specified,AmbigQA
1111,When did leonardo da vinci finish painting the mona lisa?,fully specified,AmbigQA
1542,Who is the first speaker of national assembly of pakistan?,fully specified,AmbigQA
207,When does 13 reasoms why season 2 come out?,fully specified,AmbigQA
1018,Who played betty jo in wayne's world 2?,fully specified,AmbigQA
189,Where is season 3 of into the badlands filmed?,fully specified,AmbigQA
1162,Actress who plays hillary on the young and the restless?,fully specified,AmbigQA
758,When a blood vessel is injured the first phase in hemostasis to occur is?,fully specified,AmbigQA
1652,Who plays barry allen in justice league movie?,fully specified,AmbigQA
981,Veronica mars who does she end up with?,fully specified,AmbigQA
501,Who developed the world systems theory which explains how global stratification developed?,fully specified,AmbigQA
958,Who plays diane lockhart in the good wife?,fully specified,AmbigQA
508,Who played gloria in it ain't half hot mum?,fully specified,AmbigQA
570,Where were the two atomic bombs dropped in japan?,fully specified,AmbigQA
331,When did the japanese river otter become extinct?,fully specified,AmbigQA
976,Scratches in rock produced by glacial abrasion are called?,fully specified,AmbigQA
892,Who plays val in my name is lenny?,fully specified,AmbigQA
1905,Who played draco malfoy in the harry potter movies?,fully specified,AmbigQA
1457,Where did the name kellogg's come from?,fully specified,AmbigQA
709,What laws directed the flow of goods between england and the colonies?,fully specified,AmbigQA
794,When does braxton family values season 5 start?,fully specified,AmbigQA
80,Who won artist of the year at mama 2017?,fully specified,AmbigQA
929,Who set up the first stockyard for texas cattle in abilene kansas?,fully specified,AmbigQA
683,Who did we buy the gadsden purchase from?,fully specified,AmbigQA
1875,Who did the singing for bart in the movie i can only imagine?,fully specified,AmbigQA
1328,Who plays the indian in wayne's world 2?,fully specified,AmbigQA
1936,Who played the original jason on friday the 13th?,fully specified,AmbigQA
576,When did toyota start selling cars in the us?,fully specified,AmbigQA
799,How many episodes in season 2 of wynonna earp?,fully specified,AmbigQA
157,Who was the president of nigeria in 1971?,fully specified,AmbigQA
